date,milestone,snapshot_path,faction,opponent,n_matches,wins,winrate,elo,notes
2026-05-26T00:00:00Z,BC-step0,brain:balanced,arcane,solo-defense-10wave,100,53,0.5300,,clone-source decision gate (single-side defense vs sim difficulty)
2026-05-26T00:00:00Z,BC-step0,brain:learning,arcane,solo-defense-10wave,100,100,1.0000,,clone-source decision gate; learning DOMINATES on arcane (+47%)
2026-05-26T00:00:00Z,BC-step0,brain:balanced,mechanical,solo-defense-10wave,100,84,0.8400,,clone-source decision gate
2026-05-26T00:00:00Z,BC-step0,brain:learning,mechanical,solo-defense-10wave,100,76,0.7600,,clone-source decision gate; learning slightly WORSE on mechanical (-8%)
# One row per (snapshot × opponent × faction). Long-format on purpose:
# - longitudinal view: filter by snapshot_path, sort by date
# - tournament view: filter by date+milestone, group by snapshot_path
# - per-faction skill: filter by faction
#
# Conventions:
#   date          ISO 8601 UTC, e.g. 2026-06-02T14:30:00Z
#   milestone     one of: G1, G2, BC, G3, G6, G4, G5, ad-hoc
#   snapshot_path repo-relative path to the .onnx (e.g. models/ppo-snapshots/run_a/iter_500.onnx)
#                 for non-PPO baselines: 'brain:balanced', 'brain:learning', 'brain:mazing', 'brain:bc'
#   faction       arcane | mechanical (G1-G5); add more if PRD scope changes
#   opponent      same shape as snapshot_path; the agent on the other side
#   n_matches     integer
#   wins          integer (from the snapshot's perspective)
#   winrate       wins / n_matches, 4 decimals
#   elo           computed by ml/elo.py from the SQLite DB at the time of this tournament
#   notes         free text; mention hyperparams, oddities, anything worth grepping later
#
# Example (do not commit fake data — delete before real entries land):
2026-05-27T17:54:10Z,bc-stdlong-w30-seed20k,models/bc-multi-stdlong-w30.onnx,mechanical,solo-defense-normal-30wave,20,2,0.1000,,bc-stdlong-w30-seed20k
2026-05-27T17:54:10Z,bc-stdlong-w30-seed20k,brain:random,arcane,solo-defense-normal-30wave,20,0,0.0000,,bc-stdlong-w30-seed20k
2026-05-27T17:54:10Z,bc-stdlong-w30-seed20k,brain:random,mechanical,solo-defense-normal-30wave,20,0,0.0000,,bc-stdlong-w30-seed20k
2026-05-27T17:54:10Z,bc-stdlong-w30-seed20k,brain:balanced,arcane,solo-defense-normal-30wave,20,4,0.2000,,bc-stdlong-w30-seed20k
2026-05-27T17:54:10Z,bc-stdlong-w30-seed20k,brain:balanced,mechanical,solo-defense-normal-30wave,20,1,0.0500,,bc-stdlong-w30-seed20k

2026-05-27T17:58:47Z,ppo-10iter-T03,models/ppo-policy.onnx,arcane,solo-defense-normal-30wave,20,16,0.8000,,ppo-10iter-T03
2026-05-27T17:58:47Z,ppo-10iter-T03,models/ppo-policy.onnx,mechanical,solo-defense-normal-30wave,20,0,0.0000,,ppo-10iter-T03
2026-05-27T17:58:47Z,ppo-10iter-T03,brain:random,arcane,solo-defense-normal-30wave,20,0,0.0000,,ppo-10iter-T03
2026-05-27T17:58:47Z,ppo-10iter-T03,brain:random,mechanical,solo-defense-normal-30wave,20,0,0.0000,,ppo-10iter-T03
2026-05-27T17:58:47Z,ppo-10iter-T03,brain:balanced,arcane,solo-defense-normal-30wave,20,4,0.2000,,ppo-10iter-T03
2026-05-27T17:58:47Z,ppo-10iter-T03,brain:balanced,mechanical,solo-defense-normal-30wave,20,1,0.0500,,ppo-10iter-T03

2026-05-27T22:05:36Z,ppo-50iter-arc-T03,models/ppo-stdlong-w30-50iter.onnx,arcane,solo-defense-normal-30wave,20,15,0.7500,,ppo-50iter-arc-T03
2026-05-27T22:05:36Z,ppo-50iter-arc-T03,brain:random,arcane,solo-defense-normal-30wave,20,0,0.0000,,ppo-50iter-arc-T03
2026-05-27T22:05:36Z,ppo-50iter-arc-T03,brain:balanced,arcane,solo-defense-normal-30wave,20,4,0.2000,,ppo-50iter-arc-T03

2026-05-27T22:08:55Z,ppo-50iter-arc-T0.1,models/ppo-stdlong-w30-50iter.onnx,arcane,solo-defense-normal-30wave,20,20,1.0000,,ppo-50iter-arc-T0.1
2026-05-27T22:08:55Z,ppo-50iter-arc-T0.1,brain:random,arcane,solo-defense-normal-30wave,20,0,0.0000,,ppo-50iter-arc-T0.1
2026-05-27T22:08:55Z,ppo-50iter-arc-T0.1,brain:balanced,arcane,solo-defense-normal-30wave,20,4,0.2000,,ppo-50iter-arc-T0.1

2026-05-27T22:11:38Z,ppo-50iter-arc-T0.2,models/ppo-stdlong-w30-50iter.onnx,arcane,solo-defense-normal-30wave,20,12,0.6000,,ppo-50iter-arc-T0.2
2026-05-27T22:11:38Z,ppo-50iter-arc-T0.2,brain:random,arcane,solo-defense-normal-30wave,20,0,0.0000,,ppo-50iter-arc-T0.2
2026-05-27T22:11:38Z,ppo-50iter-arc-T0.2,brain:balanced,arcane,solo-defense-normal-30wave,20,4,0.2000,,ppo-50iter-arc-T0.2

